82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/terminal.png HTTP/1.1" 200 492
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/solr-ico.png HTTP/1.1" 200 1146
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/lucene-ico.png HTTP/1.1" 200 1508
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/processor.png HTTP/1.1" 200 635
82.8.212.105 - - [21/Jul/2014:20:10:09 +0100] "GET /solr/img/ico/clock-select.png HTTP/1.1" 200 741
82.8.212.105 - - [21/Jul/2014:20:10:22 +0100] "GET /solr/collection1/admin/file/?file=admin-extra.menu-top.html&contentType=text/html;charset=utf-8&_=1405969825576 HTTP/1.1" 200 926
82.8.212.105 - - [21/Jul/2014:20:10:22 +0100] "GET /solr/collection1/admin/file/?file=admin-extra.menu-bottom.html&contentType=text/html;charset=utf-8&_=1405969825577 HTTP/1.1" 200 928
82.8.212.105 - - [21/Jul/2014:20:10:22 +0100] "GET /solr/tpl/dashboard.html?_=1405969825578 HTTP/1.1" 200 5202
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/img/ico/slash.png HTTP/1.1" 200 752
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/img/ico/clipboard-list.png HTTP/1.1" 200 640
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/collection1/admin/luke?wt=json&show=index&numTerms=0&_=1405969825714 HTTP/1.1" 200 544
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/collection1/replication?command=details&wt=json&_=1405969825720 HTTP/1.1" 200 814
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/collection1/admin/file/?file=admin-extra.html&_=1405969825723 HTTP/1.1" 200 1068
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/collection1/admin/ping?action=status&wt=json&_=1405969825725 HTTP/1.1" 503 229
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/collection1/admin/system?wt=json&_=1405969825721 HTTP/1.1" 200 3278
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/img/ico/tick.png HTTP/1.1" 200 634
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/img/ico/chart.png HTTP/1.1" 200 659
82.8.212.105 - - [21/Jul/2014:20:10:23 +0100] "GET /solr/img/ico/node-master.png HTTP/1.1" 200 1308
82.8.212.105 - - [21/Jul/2014:20:10:25 +0100] "GET /solr/tpl/query.html?_=1405969827741 HTTP/1.1" 200 13119
